handle,total_no_of_tweets,avg_len_tweets,unique_engagers
@BennieGThompson,50,74,43
@NormaJTorres,76,76,36
@MacTXPress,64,65,43
@RepJeffDenham,1266,74,459
@RepBradWenstrup,270,71,120
@lisamurkowski,11311,47,6452
@GKButterfield,126,75,75
@SenKamalaHarris,22534,55,9685
@RepMikeTurner,95,67,60
@RepTerriSewell,15061,72,7269
@KeithEllison,6599,60,3761
@SenatorWicker,524,47,208
@SenatorBurr,3322,50,1580
@RepSandyLevin,69,62,50
@MikeCrapo,377,56,180
@RepJuanVargas,39,88,17
@RepMarcyKaptur,210,54,99
@ChrisVanHollen,3185,67,946
@USRepLong,101,71,54
Warren	@SenWarren,1058,73,901
@ChrisCoons,3847,60,2211
@SenTomCotton,453,50,315
@RepMimiWalters,600,77,208
@RepRichmond,77,58,39
@RepMarkMeadows,1155,58,542
@RepAndyBarr,331,68,263
@NancyPelosi,36545,58,15960
@USRepKeating,53,61,28
@RepTomMacArthur,200,74,117
@JimLangevin,220,74,109
@GregoryMeeks,265,71,190
@CongCulberson,97,68,54
@RepJeffDuncan,1158,40,517
@WhipHoyer,554,61,305
@RepTomPrice,65,78,32
@justinamash,770,57,443
@RepBera,5933,73,2373
@USRepKCastor,70,65,48
@RepDeSaulnier,11102,71,5639
@RepDaveBrat,361,57,169
@MarkWarner,4495,45,2142
@RepBillShuster,57,69,36
@RepGrothman,170,70,95
@SenJohnHoeven,406,23,87
@RepByrne,2617,81,982
@RepDaveTrott,479,71,124
@RepBobGibbs,66,69,45
@RepBrady,85,72,48
@PattyMurray,2976,61,1673
@RepDennyHeck,344,63,260
@SenBennetCO,1614,64,910
@RepDWStweets,1308,57,681
@MarshaBlackburn,1300,71,804
@RepLoBiondo,136,76,72
@RonWyden,3533,61,1768
@SenWhitehouse,2084,52,1264
@robert_aderholt,1206,62,546
@chelliepingree,169,72,98
@RepJohnFaso,603,75,228
@SenJohnKennedy,946,45,378
@RepHankJohnson,399,64,277
@FrankPallone,212,80,116
@RepAlexMooney,135,74,53
@RepMikeCoffman,519,68,260
@MarioDB,1609,43,633
@RepRoKhanna,684,40,403
@RepDavidYoung,409,72,103
@RepMcKinley,96,61,40
@RepTrentFranks,17761,72,9570
@RepLindaSanchez,183,52,95
@RepRichardNeal,137,71,78
@SusanWBrooks,276,62,98
@RepSamGraves,90,77,47
@RepRyanCostello,496,78,251
@RepTenney,328,81,139
@RepCohen,395,68,266
@RepAnnaEshoo,7323,71,3378
@RepPerlmutter,67,66,51
@SenToddYoung,1015,66,485
@RepBrendanBoyle,324,66,223
@HurdOnTheHill,659,70,347
@RepMaloney,561,73,262
@SenatorCantwell,1142,65,585
@RepMcSally,33137,77,13485
@RepWesterman,8532,55,2500
@RepAlGreen,769,55,379
@maziehirono,1193,64,917
@SenCapito,1760,55,850
@RepSteveStivers,124,68,72
@RepTrey,196,67,92
@JRutherfordFL,11,89,6
@SenRonJohnson,7419,66,5183
@SenGillibrand,10251,57,5040
@MaxineWaters,70398,56,35779
@GrahamBlog,530,82,326
@RepRickCrawford,2808,70,1316
@SenPatRoberts,790,51,288
@brianschatz,2318,68,1630
@RepPaulCook,3457,67,1850
@USRepRodney,356,64,187
@RepGeneGreen,147,43,82
@RepMcNerney,2540,78,1016
@GerryConnolly,283,59,131
@clairecmc,2864,58,1833
@repsheaporter,126,73,70
@RepAdamSchiff,27703,56,14957
@RepPaulMitchell,155,70,91
@RepDavidEPrice,169,69,109
@RepJasonSmith,77,75,51
@SenDuckworth,1396,60,894
@RepSarbanes,839,64,563
@RepCartwright,41,51,36
@SaxbyChambliss,18,60,13
@BradSherman,238,70,162
@SenateMajLdr,64453,63,29554
@RepDianaDeGette,305,71,217
@pramilajayapal,156,63,105
@GregHarper,1,66,1
@Raul_Labrador,298,56,119
@RepLukeMesser,145,60,74
@RepWalterJones,133,71,80
@BillCassidy,1043,52,415
@RepJoshG,262,82,171
@CongBillPosey,113,63,61
@RepNewhouse,89,64,58
@SenFranken,5600,59,3478
@SteveScalise,72,40,47
@SenMikeLee,4074,50,2120
@JaHimes,379,63,195
@RepThomasMassie,538,60,264
@RepLarryBucshon,131,60,55
@SenOrrinHatch,3348,64,2054
@RepDougCollins,204,70,112
@RepKayGranger,119,40,68
@CoryBooker,23445,61,15409
@RogerMarshallMD,141,54,42
@SteveKingIA,1229,60,732
@RepSeanDuffy,1177,62,784
@RepTedYoho,184,68,97
@RepCharlieDent,570,66,394
@RepRWilliams,171,74,104
@RepLowenthal,3893,70,2161
@MartinHeinrich,1478,62,922
@RepErikPaulsen,1393,77,384
@RepFredUpton,387,39,117
@RepCicilline,280,63,147
@RepEBJ,57,68,42
@RepLoudermilk,144,76,53
@BobLatta,146,69,63
@RepAnnWagner,190,77,103
@RepDaveJoyce,96,73,50
@JerryMoran,57,38,27
@RepTedDeutch,250,64,150
@RepWalorski,172,60,95
@RepRubenGallego,20235,68,11139
@SenJackReed,316,52,185
@SenatorCollins,11548,43,6199
@RepSusanDavis,6259,74,2719
@RepAndreCarson,169,73,121
@SenatorTimScott,2903,51,1528
@RepScottPerry,160,70,104
@SenBobCasey,1752,62,1004
@SenBillNelson,2040,57,1304
@CollinPeterson,30,60,23
@SenDanSullivan,799,65,482
@RepMarkTakano,187,64,122
@repmobrooks,2071,74,1338
@RepMikeQuigley,352,75,167
@JohnBoozman,657,53,341
@RepStevePearce,336,44,92
@KenCalvert,15597,75,3566
@RepEsty,265,65,140
@RepMeehan,158,73,103
@RepRichHudson,81,74,51
@RepBlainePress,48,75,31
@RepBrianBabin,120,58,57
@amyklobuchar,2554,52,1509
@RepDrewFerguson,128,78,78
@RepLynnJenkins,98,71,66
@RepJohnDuncanJr,164,74,115
@RepTimRyan,493,62,243
@RepBillFlores,191,52,98
@RepCleaver,192,82,104
@RepPoliquin,87,66,51
@Sen_JoeManchin,4596,51,2615
@RepThompson,174,72,71
@CongressmanGT,87,65,60
@SenRobPortman,9264,68,4154
@DaveLoebsack,65,78,56
@RepDelBene,122,70,92
@JeffFlake,44068,66,24562
@RepGwenMoore,77,61,57
@RepJerryNadler,269,71,190
@Call_Me_Dutch,89,74,31
@RepRooney,827,69,423
@nikiinthehouse,454,68,334
@RepJohnLarson,94,79,59
@TulsiPress,444,50,244
@SenatorTomUdall,543,54,331
@AnthonyBrownMD4,21,63,17
@congressmanraja,122,75,70
@SenCoryGardner,4940,69,1907
@RepGuthrie,72,89,29
@DanaRohrabacher,2709,37,1634
@PeterWelch,65,79,60
@Farenthold,211,69,124
@RepJoseSerrano,120,28,60
@RepDianeBlack,617,63,309
@RepHensarling,164,70,108
@RepJimCooper,92,66,63
@JanSchakowsky,301,71,166
@SenThomTillis,9451,66,4464
@VernBuchanan,372,60,114
@RepGraceMeng,134,70,102
@ChrisMurphyCT,11176,66,7041
@GraceNapolitano,2738,73,1292
@LouiseSlaughter,204,76,116
@RepRickAllen,37,76,30
RepMcEachin,65,70,45
@RepSinema,2637,67,1072
@RepJasonLewis,704,71,197
@RepTimWalz,297,59,138
@CongressmanRuiz,126,45,71
@Jim_Jordan,1340,55,627
@RepSeanMaloney,156,78,90
@RepJimRenacci,85,63,69
@RepTomRice,427,68,269
@RepCurbelo,663,36,253
@RepDavidValadao,183,66,122
@SenatorRisch,808,70,389
@RepBeatty,205,70,160
@LamarSmithTX21,409,69,228
@RobWittman,82,60,46
@RepPeterDeFazio,27,63,23
@RepMcClintock,20154,71,7181
@RepKevinYoder,633,67,325
@SenDeanHeller,338,56,248
@PeterRoskam,564,72,236
@RepDavidScott,33,59,20
@RepBarragan,99,72,61
@RepDennisRoss,242,60,137
@SenAngusKing,923,56,554
@RepRobWoodall,71,71,41
@SenCortezMasto,701,60,420
@RepJohnLewis,1895,53,1044
@McCaulPressShop,2,83,2
@SenGaryPeters,521,65,272
@DevinNunes,134473,64,51462
@RepBrianMast,206,55,69
@SenatorShaheen,1654,60,958
@RepHuizenga,167,63,100
@RepMarkWalker,171,72,96
@RepMcGovern,446,54,142
@RepBRochester,37,74,32
@DesJarlaisTN04,275,64,75
@RepAdams,102,78,51
@RepAndyBiggsAZ,10811,66,3679
@RepSchrader,169,79,74
RepMickMulvaney,1,3,1
@RepBecerra,15205,77,7787
@VirginiaFoxx,127,78,58
@RepRobinKelly,147,70,83
@RepJoeCrowley,394,74,232
@RepGarretGraves,188,68,85
@drnealdunnfl2,79,73,51
@RepSteveChabot,134,58,69
@SenJohnMcCain,73357,59,34549
@RepHartzler,455,67,207
@RepDanDonovan,215,80,146
@SenSchumer,28145,64,12954
@NydiaVelazquez,238,76,153
@SenStabenow,1053,66,549
@SenatorTester,708,61,396
@RepAndyHarrisMD,134,71,76
@RepCummings,1060,36,435
@RepKClark,588,64,328
@ChuckGrassley,6266,54,2439
@MikeCapuano,12,72,9
@RepBrianHiggins,96,73,60
@RepKevinCramer,612,69,432
@RepLouieGohmert,1935,55,1097
@MikeKellyPA,131,63,101
@SenatorMenendez,1539,52,675
@RepPeteKing,212,69,145
@EspaillatNY,34,35,23
@USRepRickNolan,325,27,143
@RepRatcliffe,63,64,35
@RepBobbyRush,50,72,37
@MLFudge,8,79,8
@repkihuen,260,55,127
@ConawayTX11,204,56,93
@senmarkey,5134,58,3125
@RepAlLawsonJr,65,76,34
@RepCharlieCrist,148,71,73
@RepChrisCollins,1006,69,468
@RepTedLieu,44869,57,20913
@SenatorCardin,2058,67,1184
@RepHalRogers,104,73,64
@SenThadCochran,386,30,147
@RepBonamici,281,65,141
@RepRobBishop,285,25,61
@RepDonBeyer,2005,31,521
@RepDerekKilmer,99,74,72
@RepZoeLofgren,7395,72,3752
@RepJoeBarton,133,36,66
@RepPaulTonko,149,73,73
@jiminhofe,1034,21,161
@SenatorDurbin,5432,67,2626
@DarrellIssa,2645,63,1711
@RepGregWalden,316,73,222
@RepPeteAguilar,4867,73,2190
@marcorubio,34396,59,15155
@Rep_Tom_Garrett,4,61,3
@RepJohnConyers,1189,52,893
@RepRickLarsen,239,65,103
@RepRaulGrijalva,9242,65,4447
@TXRandy14,155,38,30
@RepKenBuck,285,67,146
@RepDeSantis,2604,62,1808
@RepLawrence,69,72,51
@RepJoeWilson,288,63,97
@timkaine,5220,38,1627
@RepShimkus,660,71,311
@RepSires,431,59,345
@RepMarthaRoby,2644,66,1194
@RepJimCosta,2466,75,1488
@EleanorNorton,182,73,139
@PatrickMcHenry,111,63,91
@JudgeCarter,100,65,62
@Rep_SteveWomack,10065,70,3857
@SenatorLeahy,204,39,147
@JeffFortenberry,179,76,101
@JimPressOffice,127,75,66
@NitaLowey,262,80,162
@RepChrisStewart,370,63,151
@RepBillFoster,141,75,64
@RepLloydDoggett,258,61,153
@Rep_Matt_Gaetz,5,68,3
@SenShelby,520,37,183
@RepSwalwell,5622,56,3426
@MarkAmodeiNV2,211,66,153
@RepMullin,171,70,77
@RepVeasey,143,49,89
@RodneyDavis,976,80,400
@RepGoodlatte,988,63,393
@RepBarbaraLee,49478,64,28203
