State,Representative,Twitter Handle
AK,Donald Young,@repdonyoung
AL,Robert Aderholt,@robert_aderholt
AL,Morris Brooks,@repmobrooks
AL,Bradley Byrne,@RepByrne
AL,Gary Palmer,@USRepGaryPalmer
AL,Martha Roby,@RepMarthaRoby
AL,Michael Rogers,@RepMikeRogersAL
AL,Terrycina Sewell,@RepTerriSewell
AR,Eric Crawford,@RepRickCrawford
AR,J. Hill,@RepFrenchHill
AR,Bruce Westerman,@RepWesterman
AR,Stephen Womack,@Rep_SteveWomack
AR,Tom O'Halleran,@repohalleran
AR,Andy Biggs,@RepAndyBiggsAZ
AS,Delegate Aumua Amata Radewagen,@RepAmata
AZ,Trent Franks,@RepTrentFranks
AZ,Ruben Gallego,@RepRubenGallego
AZ,Paul Gosar,@RepGosar
AZ,Raúl Grijalva,@RepRaulGrijalva
AZ,Martha McSally,@RepMcSally
AZ,David Schweikert,@RepDavid
AZ,Kyrsten Sinema,@RepSinema
CA,Peter Aguilar,@RepPeteAguilar
CA,Karen Bass,@RepKarenBass
CA,Xavier Becerra,@RepBecerra
CA,Amerish Bera,@RepBera
CA,Julia Brownley,@JuliaBrownley26
CA,Kenneth Calvert,@KenCalvert
CA,Tony Cárdenas,@RepCardenas
CA,Judy Chu,@RepJudyChu
CA,Paul Cook,@RepPaulCook
CA,Jim Costa,@RepJimCosta
CA,Susan Davis,@RepSusanDavis
CA,Jeff Denham,@RepJeffDenham
CA,Mark DeSaulnier,@RepDeSaulnier
CA,Anna Eshoo,@RepAnnaEshoo
CA,John Garamendi,@RepGaramendi
CA,Jared Huffman,@RepHuffman
CA,Duncan Hunter,@Rep_Hunter
CA,Darrell Issa,@DarrellIssa
CA,Stephen Knight,@RepSteveKnight
CA,Doug LaMalfa,@RepLaMalfa
CA,Barbara Lee,@RepBarbaraLee
CA,Ted Lieu,@RepTedLieu
CA,Zoe Lofgren,@RepZoeLofgren
CA,Alan Lowenthal,@RepLowenthal
CA,Doris Matsui,@DorisMatsui
CA,Kevin McCarthy,@GOPLeader
CA,Thomas McClintock,@RepMcClintock
CA,Gerald McNerney,@RepMcNerney
CA,Grace Napolitano,@GraceNapolitano
CA,Devin Nunes,@DevinNunes
CA,Nancy Pelosi,@NancyPelosi
CA,Scott Peters,@RepScottPeters
CA,Dana Rohrabacher,@DanaRohrabacher
CA,Lucille Roybal-Allard,@RebRoybalAllard
CA,Edward Royce,@RepEdRoyce
CA,Raul Ruiz,@CongressmanRuiz
CA,Linda Sánchez,@RepLindaSanchez
CA,Adam Schiff,@RepAdamSchiff
CA,Brad Sherman,@BradSherman
CA,Karen Speier,@RepSpeier
CA,Eric Swalwell,@RepSwalwell
CA,Mark Takano,@RepMarkTakano
CA,Michael Thompson,@RepThompson
CA,Norma Torres,@NormaJTorres
CA,David Valadao,@RepDavidValadao
CA,Juan Vargas,@RepJuanVargas
CA,Mimi Walters,@RepMimiWalters
CA,Maxine Waters,@MaxineWaters
CA,Rohit Khanna,@RepRoKhanna
CA,James Panetta,@RepJimmyPanetta
