Alabama,Richard Shelby,@SenShelby
Alabama,Luther Strange,@lutherstrange			
Alaska,Lisa Murkowski,@lisamurkowski
Alaska,Dan Sullivan,@SenDanSullivan
Arizona,John McCain,@SenJohnMcCain
Arizona,Jeff Flake,@JeffFlake	
Arkansas,Tom Cotton,@SenTomCotton
Arkansas,John Boozman,@JohnBoozman	
California,Dianne Feinstein,@SenFeinstein	
California,Kamala Harris,@SenKamalaHarris
Colorado,Michael Bennet,@SenBennetCO	
Colorado,Cory Gardner,@SenCoryGardner
Connecticut,Christopher Murphy,@ChrisMurphyCT			
Connecticut,Richard Blumenthal,@SenBlumenthal
Delaware,Tom Carper,@SenatorCarper
Delaware,Chris Coons,@ChrisCoons
Florida,Bill Nelson,@SenBillNelson
Florida,Marco Rubio,@marcorubio
Georgia,Saxby Chambliss,@SaxbyChambliss
Georgia,David Perdue,@SenDavidPerdue
Georgia,Johnny Isakson,@SenatorIsakson
Hawaii,Brian Schatz,@brianschatz
Hawaii,Mazie K. Hirono,@maziehirono
Idaho,Mike Crapo,@MikeCrapo
Idaho,Jim Risch,@SenatorRisch
Illinois,Tammy Duckworth,@SenDuckworth
Illinois,Dick Durbin,@SenatorDurbin
Indiana,Joe Donnelly,@SenDonnelly
Indiana,Todd Young,@SenToddYoung
Iowa,Chuck Grassley,@ChuckGrassley
Iowa,Joni Ernst,@joniernst	
Kansas,Pat Roberts,@SenPatRoberts
Kansas,Jerry Moran,@JerryMoran
Kentucky,Mitch McConnell,@SenateMajLdr	
Kentucky,Rand Paul,@SenRandPaul
Louisiana,Bill Cassidy,@BillCassidy
Louisiana,John Neely,Kennedy,@SenJohnKennedy
Maine,Angus King,@SenAngusKing
Maine,Susan Collins,@SenatorCollins	
Maryland,Chris Van Hollen,@ChrisVanHollen	
Maryland,Ben Cardin,@SenatorCardin	
Massachusetts,Ed Markey,@senmarkey
Massachusetts,Elizabeth,Warren	@SenWarren
Michigan,Gary Peters,@SenGaryPeters	
Michigan,Debbie Stabenow,@SenStabenow
Minnesota,Amy Klobuchar,@amyklobuchar			
Minnesota,Al Franken,@SenFranken	
Mississippi,Thad Cochran,@SenThadCochran			
Mississippi,Roger Wicker,@SenatorWicker
Missouri,Claire McCaskill,@clairecmc
Missouri,Roy Blunt,@RoyBlunt
Montana,Steve Daines,@SteveDaines
Montana,Jon Tester,@SenatorTester
Nebraska,Deb Fischer,@SenatorFischer
Nebraska,Ben Sasse,@SenSasse
Nevada,Catherine Cortez Masto,@SenCortezMasto
Nevada,Dean Heller,@SenDeanHeller
New Hampshire,Jeanne Shaheen,@SenatorShaheen
New Hampshire,Maggie Hassan,@GovernorHassan	
New Jersey,Cory Booker,@CoryBooker
New Jersey,Bob Menendez,@SenatorMenendez
New Mexico,Martin Heinrich,@MartinHeinrich	
New Mexico,Tom Udall,@SenatorTomUdall
New York,Chuck Schumer,@SenSchumer	
New York,Kirsten Gillibrand,@SenGillibrand			
North Carolina,Richard Burr,@SenatorBurr
North Carolina,Thom Tillis,@SenThomTillis
North Dakota,Heidi Heitkamp,@SenatorHeitkamp
North Dakota,John Hoeven,@SenJohnHoeven	
Ohio,Sherrod Brown,@SenSherrodBrown
Ohio,Rob Portman,@SenRobPortman
Oklahoma,Jim Inhofe,@jiminhofe
Oklahoma,James Lankford,@SenatorLankford
Oregon,Ron Wyden,@RonWyden
Oregon,Jeff Merkley,@SenJeffMerkley	
Pennsylvania,Bob Casey, Jr.,@SenBobCasey
Pennsylvania,Pat Toomey,@SenToomey
Rhode Island,Jack Reed,@SenJackReed			
Rhode Island,Sheldon Whitehouse,@SenWhitehouse
South Carolina,Lindsey Graham,@GrahamBlog	
South Carolina,Tim Scott,@SenatorTimScott
South Dakota,Mike Rounds,@SenatorRounds
South Dakota,John Thune,@SenJohnThune
Tennessee,Lamar Alexander,@SenAlexander
Tennessee,Bob Corker,@SenBobCorker
Texas,John Cornyn,@JohnCornyn
Texas,Ted Cruz,@SenTedCruz	
Utah,Orrin Hatch,@SenOrrinHatch
Utah,Mike Lee,@SenMikeLee
Vermont,Patrick Leahy,@SenatorLeahy			
Vermont,Bernie Sanders,@SenatorSanders
Virginia,Tim Kaine,@timkaine
Virginia,Mark Warner,@MarkWarner
Washington,Patty Murray,@PattyMurray
Washington,Maria Cantwell,@SenatorCantwell
West Virginia,Shelley Moore Capito,@SenCapito
West Virginia,Joe Manchin,@Sen_JoeManchin
Wisconsin,Tammy Baldwin,@SenatorBaldwin
Wisconsin,Ron Johnson,@SenRonJohnson
Wyoming,Mike Enzi,@SenatorEnzi
Wyoming,John Barrasso,@SenJohnBarrasso
